,open,high,low,close
2022-07-10 19:10:00+00:00,135.834,135.834,135.834,135.834
2022-07-10 19:35:00+00:00,135.874,135.874,135.874,135.874
2022-07-10 20:00:00+00:00,135.89,135.89,135.89,135.89
2022-07-10 20:25:00+00:00,135.958,135.958,135.958,135.958
2022-07-10 20:50:00+00:00,135.929,135.929,135.929,135.929
2022-07-10 21:00:00+00:00,135.929,136.051,135.929,136.051
2022-07-10 21:05:00+00:00,136.054,136.057,136.054,136.056
2022-07-10 21:10:00+00:00,136.054,136.103,136.044,136.098
2022-07-10 21:15:00+00:00,136.101,136.116,136.087,136.109
2022-07-10 21:20:00+00:00,136.108,136.109,136.078,136.102
2022-07-10 21:30:00+00:00,136.105,136.11,136.095,136.101
2022-07-10 21:35:00+00:00,136.101,136.106,136.098,136.105
2022-07-10 21:40:00+00:00,136.104,136.114,136.093,136.107
2022-07-10 21:45:00+00:00,136.12,136.121,136.11,136.119
2022-07-10 21:50:00+00:00,136.121,136.126,136.115,136.116
2022-07-10 21:55:00+00:00,136.121,136.122,136.101,136.118
2022-07-10 22:00:00+00:00,136.133,136.144,136.103,136.129
2022-07-10 22:05:00+00:00,136.129,136.134,136.101,136.125
2022-07-10 22:10:00+00:00,136.121,136.134,136.107,136.112
2022-07-10 22:15:00+00:00,136.115,136.148,136.104,136.145
2022-07-10 22:20:00+00:00,136.138,136.156,136.138,136.147
2022-07-10 22:25:00+00:00,136.15,136.156,136.136,136.137
2022-07-10 22:30:00+00:00,136.141,136.172,136.131,136.161
2022-07-10 22:35:00+00:00,136.162,136.196,136.159,136.183
2022-07-10 22:40:00+00:00,136.183,136.195,136.164,136.164
2022-07-10 22:45:00+00:00,136.17,136.178,136.157,136.175
2022-07-10 22:50:00+00:00,136.17,136.186,136.164,136.179
2022-07-10 22:55:00+00:00,136.179,136.185,136.162,136.174
2022-07-10 23:00:00+00:00,136.181,136.189,136.169,136.184
2022-07-10 23:05:00+00:00,136.185,136.197,136.177,136.191
2022-07-10 23:10:00+00:00,136.19,136.199,136.186,136.195
2022-07-10 23:15:00+00:00,136.196,136.236,136.192,136.22
2022-07-10 23:20:00+00:00,136.22,136.304,136.219,136.291
2022-07-10 23:25:00+00:00,136.288,136.292,136.26,136.268
2022-07-10 23:30:00+00:00,136.27,136.283,136.244,136.246
2022-07-10 23:35:00+00:00,136.244,136.32,136.244,136.304
2022-07-10 23:40:00+00:00,136.302,136.344,136.289,136.343
2022-07-10 23:45:00+00:00,136.345,136.355,136.319,136.329
2022-07-10 23:50:00+00:00,136.33,136.331,136.291,136.298
2022-07-10 23:55:00+00:00,136.299,136.311,136.29,136.296
2022-07-11 00:00:00+00:00,136.297,136.352,136.227,136.311
2022-07-11 00:05:00+00:00,136.309,136.331,136.273,136.327
2022-07-11 00:10:00+00:00,136.329,136.383,136.32,136.373
2022-07-11 00:15:00+00:00,136.376,136.414,136.347,136.362
2022-07-11 00:20:00+00:00,136.373,136.406,136.361,136.385
2022-07-11 00:25:00+00:00,136.386,136.388,136.318,136.321
2022-07-11 00:30:00+00:00,136.322,136.331,136.251,136.315
2022-07-11 00:35:00+00:00,136.316,136.36,136.313,136.353
2022-07-11 00:40:00+00:00,136.352,136.37,136.31,136.334
2022-07-11 00:45:00+00:00,136.332,136.405,136.33,136.372
2022-07-11 00:50:00+00:00,136.371,136.447,136.31,136.433
2022-07-11 00:55:00+00:00,136.435,136.479,136.427,136.446
2022-07-11 01:00:00+00:00,136.45,136.552,136.437,136.528
2022-07-11 01:05:00+00:00,136.526,136.526,136.473,136.482
2022-07-11 01:10:00+00:00,136.481,136.645,136.474,136.604
2022-07-11 01:15:00+00:00,136.605,136.735,136.588,136.696
2022-07-11 01:20:00+00:00,136.705,136.834,136.695,136.806
2022-07-11 01:25:00+00:00,136.807,136.932,136.772,136.889
2022-07-11 01:30:00+00:00,136.892,136.984,136.888,136.959
2022-07-11 01:35:00+00:00,136.958,136.992,136.932,136.977
2022-07-11 01:40:00+00:00,136.978,137.237,136.976,137.209
2022-07-11 01:45:00+00:00,137.225,137.277,137.141,137.239
2022-07-11 01:50:00+00:00,137.247,137.256,137.167,137.202
2022-07-11 01:55:00+00:00,137.196,137.204,137.094,137.109
2022-07-11 02:00:00+00:00,137.107,137.153,137.06,137.135
2022-07-11 02:05:00+00:00,137.133,137.191,137.104,137.146
2022-07-11 02:10:00+00:00,137.153,137.153,137.04,137.114
2022-07-11 02:15:00+00:00,137.113,137.143,136.994,137.025
2022-07-11 02:20:00+00:00,137.027,137.073,137.008,137.008
2022-07-11 02:25:00+00:00,137.01,137.05,137.007,137.014
2022-07-11 02:30:00+00:00,137.02,137.026,136.792,136.839
2022-07-11 02:35:00+00:00,136.857,136.945,136.825,136.919
2022-07-11 02:40:00+00:00,136.916,137.046,136.916,137.018
2022-07-11 02:45:00+00:00,137.019,137.068,137.017,137.041
2022-07-11 02:50:00+00:00,137.039,137.066,137.002,137.006
2022-07-11 02:55:00+00:00,137.005,137.04,136.951,137.035
2022-07-11 03:00:00+00:00,137.031,137.038,136.928,136.932
2022-07-11 03:05:00+00:00,136.932,136.959,136.908,136.945
2022-07-11 03:10:00+00:00,136.945,136.954,136.919,136.95
2022-07-11 03:15:00+00:00,136.954,136.97,136.936,136.966
2022-07-11 03:20:00+00:00,136.967,136.982,136.874,136.938
2022-07-11 03:25:00+00:00,136.944,137.018,136.931,136.999
2022-07-11 03:30:00+00:00,137.003,137.085,137.001,137.058
2022-07-11 03:35:00+00:00,137.057,137.063,136.974,137.042
2022-07-11 03:40:00+00:00,137.04,137.054,137.019,137.033
2022-07-11 03:45:00+00:00,137.032,137.076,137.018,137.064
2022-07-11 03:50:00+00:00,137.065,137.08,137.01,137.062
2022-07-11 03:55:00+00:00,137.063,137.087,137.012,137.018
2022-07-11 04:00:00+00:00,137.024,137.044,137.011,137.025
2022-07-11 04:05:00+00:00,137.026,137.027,136.974,137.01
2022-07-11 04:10:00+00:00,137.016,137.025,136.961,136.979
2022-07-11 04:15:00+00:00,136.98,136.993,136.942,136.976
2022-07-11 04:20:00+00:00,136.973,136.993,136.949,136.97
