,open,high,low,close
2024-03-31 22:00:00+00:00,151.291,151.301,151.238,151.244
2024-03-31 22:05:00+00:00,151.244,151.263,151.216,151.245
2024-03-31 22:10:00+00:00,151.244,151.282,151.231,151.238
2024-03-31 22:15:00+00:00,151.237,151.279,151.233,151.254
2024-03-31 22:20:00+00:00,151.256,151.28,151.251,151.263
2024-03-31 22:25:00+00:00,151.261,151.276,151.242,151.271
2024-03-31 22:30:00+00:00,151.271,151.304,151.267,151.299
2024-03-31 22:35:00+00:00,151.3,151.311,151.284,151.308
2024-03-31 22:40:00+00:00,151.311,151.32,151.293,151.302
2024-03-31 22:45:00+00:00,151.302,151.329,151.302,151.321
2024-03-31 22:50:00+00:00,151.323,151.347,151.316,151.325
2024-03-31 22:55:00+00:00,151.327,151.353,151.317,151.35
2024-03-31 23:00:00+00:00,151.351,151.37,151.344,151.367
2024-03-31 23:05:00+00:00,151.368,151.38,151.363,151.367
2024-03-31 23:10:00+00:00,151.37,151.373,151.366,151.368
2024-03-31 23:15:00+00:00,151.369,151.371,151.34,151.343
2024-03-31 23:20:00+00:00,151.342,151.37,151.341,151.351
2024-03-31 23:25:00+00:00,151.351,151.353,151.33,151.345
2024-03-31 23:30:00+00:00,151.344,151.398,151.321,151.385
2024-03-31 23:35:00+00:00,151.371,151.404,151.369,151.392
2024-03-31 23:40:00+00:00,151.392,151.395,151.377,151.38
2024-03-31 23:45:00+00:00,151.383,151.426,151.38,151.405
2024-03-31 23:50:00+00:00,151.402,151.406,151.362,151.39
2024-03-31 23:55:00+00:00,151.39,151.422,151.375,151.4
2024-04-01 00:00:00+00:00,151.396,151.428,151.335,151.359
2024-04-01 00:05:00+00:00,151.343,151.36,151.317,151.347
2024-04-01 00:10:00+00:00,151.345,151.363,151.307,151.307
2024-04-01 00:15:00+00:00,151.309,151.327,151.267,151.283
2024-04-01 00:20:00+00:00,151.284,151.312,151.255,151.26
2024-04-01 00:25:00+00:00,151.265,151.288,151.249,151.287
2024-04-01 00:30:00+00:00,151.289,151.314,151.268,151.296
2024-04-01 00:35:00+00:00,151.296,151.323,151.289,151.314
2024-04-01 00:40:00+00:00,151.313,151.359,151.307,151.349
2024-04-01 00:45:00+00:00,151.35,151.373,151.339,151.344
2024-04-01 00:50:00+00:00,151.345,151.383,151.325,151.369
2024-04-01 00:55:00+00:00,151.371,151.4,151.352,151.372
2024-04-01 01:00:00+00:00,151.375,151.42,151.366,151.367
2024-04-01 01:05:00+00:00,151.368,151.369,151.328,151.348
2024-04-01 01:10:00+00:00,151.347,151.35,151.286,151.291
2024-04-01 01:15:00+00:00,151.292,151.33,151.277,151.31
2024-04-01 01:20:00+00:00,151.311,151.328,151.288,151.293
2024-04-01 01:25:00+00:00,151.294,151.32,151.285,151.309
2024-04-01 01:30:00+00:00,151.313,151.33,151.295,151.295
2024-04-01 01:35:00+00:00,151.298,151.298,151.262,151.262
2024-04-01 01:40:00+00:00,151.272,151.288,151.258,151.277
2024-04-01 01:45:00+00:00,151.28,151.296,151.27,151.285
