,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
H6TV9F,-0.05000000000001137,-0.00039371938831764784,,0.06050000000001887,-0.02155555555555111,,,0.00031638797830716776,
RFJ1QP,-0.05000000000001137,-0.0003936976874198736,,-0.020833333333314386,0.02549999999999386,,,0.0001666931363118333,
U1423M,0.011000000000024102,8.664555665850704e-05,,0.00041666666665207686,0.021361111111119158,,,-0.00015160673606459435,
3P5AWV,0.09200000000004138,0.0007075127083128237,0.012450934469445708,0.037749999999988404,0.2894722222222299,0.45288687865496513,,0.0006444823652308933,0.007298451367726138
LP5JY9,-0.053000000000054115,-0.00040167034232964333,0.010468352600517036,0.07599999999996498,0.13505555555556725,0.554504751461991,1.2381159722222606,0.0004220582288718196,0.007953807177985415
2R5B5Q,0.027999999999991587,0.00020887728459523749,0.015726401324629758,0.08466666666666356,-0.10952777777777101,0.7727669956140062,1.9950243055555745,0.0012623150409693021,0.006236983478425027
XRQRBL,-0.12300000000001887,-0.0009176091432665308,0.009314143019557125,0.10566666666665014,0.21522222222225196,-0.41136915204677393,2.0565020833333563,0.0016140120154228426,0.0003823796869627651
9FPIS9,-0.21999999999997044,-0.0016427718040619064,0.009314143019557125,0.10816666666664787,0.20886111111113337,-0.40860288742689477,2.0524701388888786,0.000613927053511058,-0.0005346778339953373
K3264E,0.10599999999999454,0.0007913223294737301,0.009055723047876675,-0.1418333333333237,0.18883333333332075,-0.26840551900582454,1.9754805555555492,-0.0013878621083823455,-0.0003163717823733262
LHMBEA,0.008000000000009777,5.967477249000281e-05,0.009055723047876675,-0.1173333333333062,0.16933333333332712,-0.26338614766081037,1.9729388888888764,-0.0004995265681032071,0.00047837803079538556
SPBMRY,-0.09399999999999409,-0.0007005097326139006,0.005679298979337434,0.08675000000002342,0.05594444444443525,-0.24049287280701037,1.283490277777787,0.0019469525432651057,0.0009758740226592748
3CSQJT,-0.03299999999995862,-0.00024636793931852107,0.007828188922102606,-0.12424999999998931,-0.2509722222222308,-0.07712847222222763,0.9834798611111069,-0.0014257784470756377,-0.004336439213853044
TTP03U,-0.07699999999999818,-0.0005749486652977276,0.007828188922102606,-0.05941666666669221,-0.2948333333333437,-0.12089126461989963,0.9681506944444607,-0.0005802119732618089,-0.0044638120153957855
I38C4Y,0.11799999999996658,0.0008804787416613185,0.007828188922102606,0.07408333333336259,-0.04686111111112723,-0.2940175438596384,0.8984888888888918,0.001163509503239426,-0.0035879646122972536
P9KAIL,-0.10200000000000387,-0.000761262202585335,0.0076375577366141565,-0.2470000000000141,-0.08372222222220671,-0.3285286915204608,0.46087222222223545,-0.002748888536043269,-0.0063359737537138725
SGKMX2,-0.06700000000000728,-0.0005080607246311425,0.016843404184173703,-0.33783333333332166,-0.23375000000001478,-1.0403936403508567,-0.5254937500000096,-0.003678076973928511,-0.01445431260469549
5O5RED,0.023000000000024556,0.00017420547156682344,0.017988142875204022,0.005500000000012051,-0.0328055555555693,-1.2442668128655043,-0.8565826388889093,0.0004407572942806242,-0.010274243945436261
3978UT,0.0020000000000095497,1.4816131804379275e-05,0.01720789376219727,-0.11599999999998545,0.26980555555553565,1.2888006213450183,-0.7205173611110922,-0.001454800100603064,0.011153825696488182
TRQ8M4,0.002999999999985903,2.2221234611690616e-05,0.01720789376219727,0.03133333333335031,-0.029555555555560886,1.0163433845029033,-0.265026388888856,0.00038284555516317757,0.007685776486515876
AKXHXD,-0.006000000000000227,-4.445004185712443e-05,0.01720789376219727,0.03641666666666765,-0.01669444444442547,1.0087916666666388,-0.2447166666666476,0.0001537466958352613,0.0073549280630010585
SOOXJH,-0.04099999999999682,-0.00030343623028587265,0.01720789376219727,0.06500000000002615,0.03544444444443684,-0.13194645467837063,0.6667993055555712,0.0012721012147950145,0.001221376567626478
7KN0AT,0.07299999999997908,0.0005408529176420228,0.01720789376219727,0.04550000000000409,0.04344444444444662,-0.130423062865475,0.6693520833333366,8.643842805620776e-06,9.650566395126659e-05
YPDAO0,-0.03700000000003456,-0.00027398071768163857,0.01720789376219727,0.026999999999986812,0.045055555555592264,-0.12802192982456972,0.6697645833333183,0.0004939027703003999,0.0006359901254815226
LT6UTW,0.01799999999997226,0.0001333027230781988,0.01720789376219727,-0.05541666666664469,0.030666666666661513,-0.04405244883042769,0.6545319444444715,-2.2833741357702596e-05,0.0005173040880246444
0JQAHE,0.03700000000000614,0.0002741085914523024,0.01720789376219727,-0.014499999999998181,0.020722222222190112,-0.03137006578947421,0.6503854166666656,-0.00034930466155074603,0.0001771370074868351
AUX0K1,0.009999999999990905,7.406310176263445e-05,0.01720789376219727,-0.02533333333332166,0.018555555555565206,-0.027482090643275114,0.6492583333333357,-8.63994865401157e-05,0.0004554382418592162
4DOQTP,0.011999999999943611,8.889086424100988e-05,0.01720789376219727,-0.005333333333339851,0.0040833333333125665,-0.01882584064327375,0.6474048611110845,-0.00018268672929032094,0.0002898795403475534
