,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
O6FPNO,2,C:USDJPY,2022-05-27 00:40:00+00:00,126.94282634999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.05717365000001,98.94282634999999
ZLDFH4,2,C:USDJPY,2022-05-27 01:00:00+00:00,127.003175,2022-05-31 00:10:00+00:00,128,1,1,0.9968250000000012,99.93965134999999
17MJMX,2,C:USDJPY,2022-05-27 01:15:00+00:00,127.06217647499999,2022-05-31 00:10:00+00:00,128,1,1,0.9378235250000131,100.877474875
VCDBQQ,2,C:USDJPY,2022-05-27 01:35:00+00:00,126.98282535,2022-05-31 00:10:00+00:00,128,-1,1,-1.0171746500000012,99.860300225
XDALGB,2,C:USDJPY,2022-05-27 06:50:00+00:00,127.01317525,2022-05-31 00:10:00+00:00,128,1,1,0.9868247499999967,100.847124975
E8YXZE,2,C:USDJPY,2022-05-27 06:55:00+00:00,126.989825175,2022-05-31 00:10:00+00:00,128,-1,1,-1.010174825000007,99.83695014999999
DLUYOD,2,C:USDJPY,2022-05-27 07:00:00+00:00,127.01617532499999,2022-05-31 00:10:00+00:00,128,1,1,0.9838246750000081,100.820774825
GFIPKY,2,C:USDJPY,2022-05-27 11:10:00+00:00,126.967825725,2022-05-31 00:10:00+00:00,128,-1,1,-1.0321742750000027,99.78860055
EC9XJ4,2,C:USDJPY,2022-05-27 12:45:00+00:00,127.036175825,2022-05-31 00:10:00+00:00,128,1,1,0.9638241749999992,100.752424725
ZZS8H9,2,C:USDJPY,2022-05-27 13:05:00+00:00,126.99082514999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.009174850000008,99.74324987499999
ZUNTWL,2,C:USDJPY,2022-05-27 13:40:00+00:00,127.004175025,2022-05-31 00:10:00+00:00,128,1,1,0.995824975000005,100.73907485
9V0B1V,2,C:USDJPY,2022-05-27 13:45:00+00:00,126.95082614999998,2022-05-31 00:10:00+00:00,128,-1,1,-1.0491738500000167,99.68990099999998
1FRZ9O,2,C:USDJPY,2022-05-27 14:55:00+00:00,127.043176,2022-05-31 00:10:00+00:00,128,1,1,0.9568239999999975,100.64672499999998
P5VC5U,2,C:USDJPY,2022-05-30 01:45:00+00:00,126.9288267,2022-05-31 00:10:00+00:00,128,-1,1,-1.071173299999998,99.57555169999998
UAMXMI,2,C:USDJPY,2022-05-30 02:45:00+00:00,127.008175125,2022-05-31 00:10:00+00:00,128,1,1,0.991824875000006,100.56737657499998
0FLK3S,2,C:USDJPY,2022-05-30 02:50:00+00:00,126.96282584999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.0371741500000127,99.53020242499997
9EIO3U,2,C:USDJPY,2022-05-30 03:20:00+00:00,127.02117544999999,2022-05-31 00:10:00+00:00,128,1,1,0.978824550000013,100.50902697499998
PH3MI1,2,C:USDJPY,2022-05-30 03:40:00+00:00,126.99082514999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.009174850000008,99.49985212499998
JU8UXB,2,C:USDJPY,2022-05-30 03:55:00+00:00,127.0191754,2022-05-31 00:10:00+00:00,128,1,1,0.9808246000000054,100.48067672499998
P9LCWS,2,C:USDJPY,2022-05-30 04:00:00+00:00,126.97582552499999,2022-05-31 00:10:00+00:00,128,-1,1,-1.0241744750000095,99.45650224999997
VE6WAW,2,C:USDJPY,2022-05-30 04:30:00+00:00,127.01317525,2022-05-31 00:10:00+00:00,128,1,1,0.9868247499999967,100.44332699999997
Q9XRSI,2,C:USDJPY,2022-05-30 04:40:00+00:00,126.967825725,2022-05-31 00:10:00+00:00,128,-1,1,-1.0321742750000027,99.41115272499997
HV3FLB,2,C:USDJPY,2022-05-30 04:55:00+00:00,126.998174875,2022-05-31 00:10:00+00:00,128,1,1,1.0018251249999963,100.41297784999996
DSSHHC,2,C:USDJPY,2022-05-30 05:10:00+00:00,126.987825225,2022-05-31 00:10:00+00:00,128,-1,1,-1.0121747750000054,99.40080307499996
EHK1O7,2,C:USDJPY,2022-05-30 05:40:00+00:00,126.981825375,2022-05-31 00:10:00+00:00,128,-1,1,-1.0181746250000003,98.38262844999996
TYLDBH,2,C:USDJPY,2022-05-30 05:55:00+00:00,127.01717534999999,2022-05-31 00:10:00+00:00,128,1,1,0.982824650000012,99.36545309999997
X6RKHO,2,C:USDJPY,2022-05-31 00:15:00+00:00,128.05020117499998,2022-06-01 01:10:00+00:00,129,1,1,0.9497988250000162,100.31525192499998
1LZ318,2,C:USDJPY,2022-05-31 04:20:00+00:00,127.97780047499998,2022-06-01 01:10:00+00:00,129,-1,1,-1.022199525000019,99.29305239999997
LVOQ7R,2,C:USDJPY,2022-05-31 04:25:00+00:00,128.07120170000002,2022-06-01 01:10:00+00:00,129,1,1,0.9287982999999826,100.22185069999995
75EATL,2,C:USDJPY,2022-05-31 04:45:00+00:00,127.991800125,2022-06-01 01:10:00+00:00,129,-1,1,-1.0081998750000025,99.21365082499995
G566PZ,2,C:USDJPY,2022-05-31 05:00:00+00:00,128.010200175,2022-06-01 01:10:00+00:00,129,1,1,0.9897998250000057,100.20345064999995
VHT8ZG,2,C:USDJPY,2022-05-31 05:05:00+00:00,127.96880069999999,2022-06-01 01:10:00+00:00,129,-1,1,-1.0311993000000115,99.17225134999994
IE7HD1,2,C:USDJPY,2022-05-31 06:50:00+00:00,128.008200125,2022-06-01 01:10:00+00:00,129,1,1,0.9917998749999981,100.16405122499994
7N7KR9,2,C:USDJPY,2022-05-31 07:05:00+00:00,127.95480104999999,2022-06-01 01:10:00+00:00,129,-1,1,-1.0451989500000138,99.11885227499992
7PUMI6,2,C:USDJPY,2022-05-31 10:50:00+00:00,128.02420052499997,2022-06-01 01:10:00+00:00,129,1,1,0.9757994750000307,100.09465174999995
A5DLY2,2,C:USDJPY,2022-05-31 11:00:00+00:00,127.98080039999999,2022-06-01 01:10:00+00:00,129,-1,1,-1.0191996000000074,99.07545214999995
1H45N9,2,C:USDJPY,2022-05-31 11:05:00+00:00,128.002199975,2022-06-01 01:10:00+00:00,129,1,1,0.9978000250000036,100.07325217499995
KHW0GP,2,C:USDJPY,2022-05-31 11:10:00+00:00,128.062201475,2022-06-01 01:10:00+00:00,129,1,1,0.9377985250000052,101.01105069999996
B5HZY7,2,C:USDJPY,2022-05-31 11:15:00+00:00,127.99080015,2022-06-01 01:10:00+00:00,129,-1,1,-1.0091998500000017,100.00185084999995
WDJCB6,2,C:USDJPY,2022-05-31 11:20:00+00:00,128.0472011,2022-06-01 01:10:00+00:00,129,1,1,0.9527989000000048,100.95464974999996
RKI4HM,2,C:USDJPY,2022-06-01 01:20:00+00:00,129.040225925,2022-06-01 15:05:00+00:00,130,1,1,0.9597740750000128,101.91442382499997
QMURKI,2,C:USDJPY,2022-06-01 03:10:00+00:00,128.9807754,2022-06-01 15:05:00+00:00,130,-1,1,-1.0192246000000011,100.89519922499997
U8VL7X,2,C:USDJPY,2022-06-01 03:15:00+00:00,129.00622507499997,2022-06-01 15:05:00+00:00,130,1,1,0.9937749250000252,101.88897415
R2RKIY,2,C:USDJPY,2022-06-01 15:45:00+00:00,130.03625082499997,2022-06-06 14:05:00+00:00,131,1,1,0.9637491750000322,102.85272332500003
1J2TY0,2,C:USDJPY,2022-06-01 16:15:00+00:00,129.967750725,2022-06-06 14:05:00+00:00,131,-1,1,-1.032249274999998,101.82047405000003
YLF0G6,2,C:USDJPY,2022-06-02 00:30:00+00:00,129.95875095,2022-06-06 14:05:00+00:00,131,-1,1,-1.0412490500000047,100.77922500000003
BQ5DUT,2,C:USDJPY,2022-06-02 00:55:00+00:00,130.038250875,2022-06-06 14:05:00+00:00,131,1,1,0.9617491250000114,101.74097412500004
9EL7WQ,2,C:USDJPY,2022-06-02 02:00:00+00:00,129.99075015,2022-06-06 14:05:00+00:00,131,-1,1,-1.0092498500000033,100.73172427500003
QJ7I4L,2,C:USDJPY,2022-06-02 02:25:00+00:00,130.00324999999998,2022-06-06 14:05:00+00:00,131,1,1,0.99675000000002,101.72847427500005
KNFZRR,2,C:USDJPY,2022-06-02 02:35:00+00:00,130.07725185,2022-06-06 14:05:00+00:00,131,1,1,0.9227481499999897,102.65122242500004
BD6M9O,2,C:USDJPY,2022-06-02 05:20:00+00:00,129.97275059999998,2022-06-06 14:05:00+00:00,131,-1,1,-1.0272494000000165,101.62397302500003
QVKPT5,2,C:USDJPY,2022-06-02 05:25:00+00:00,130.01825037499998,2022-06-06 14:05:00+00:00,131,1,1,0.9817496250000204,102.60572265000005
4WT90X,2,C:USDJPY,2022-06-02 06:05:00+00:00,129.957750975,2022-06-06 14:05:00+00:00,131,-1,1,-1.0422490249999896,101.56347362500006
BB9WX5,2,C:USDJPY,2022-06-03 07:05:00+00:00,130.00625007499997,2022-06-06 14:05:00+00:00,131,1,1,0.9937499250000315,102.55722355000009
64BQAF,2,C:USDJPY,2022-06-03 07:10:00+00:00,129.993750075,2022-06-06 14:05:00+00:00,131,-1,1,-1.0062499249999917,101.5509736250001
YYE04Y,2,C:USDJPY,2022-06-03 09:10:00+00:00,130.00625007499997,2022-06-06 14:05:00+00:00,131,1,1,0.9937499250000315,102.54472355000013
JJY97H,2,C:USDJPY,2022-06-06 14:10:00+00:00,131.0512762,2022-06-06 18:55:00+00:00,132,1,1,0.9487238000000104,103.49344735000014
XYWGJX,2,C:USDJPY,2022-06-06 19:05:00+00:00,131.945701275,2022-06-07 06:15:00+00:00,133,-1,1,-1.0542987249999953,102.43914862500014
I5FOKO,2,C:USDJPY,2022-06-06 23:15:00+00:00,131.9687007,2022-06-07 06:15:00+00:00,133,-1,1,-1.0312993000000006,101.40784932500014
I4RMSG,2,C:USDJPY,2022-06-06 19:00:00+00:00,132.00630007499998,2022-06-08 00:55:00+00:00,133,1,1,0.9936999250000156,102.40154925000016
TABHSK,2,C:USDJPY,2022-06-06 23:10:00+00:00,132.00530005,2022-06-08 00:55:00+00:00,133,1,1,0.9946999500000118,103.39624920000017
6PX5UL,2,C:USDJPY,2022-06-06 23:25:00+00:00,132.152303725,2022-06-08 00:55:00+00:00,133,1,1,0.8476962750000041,104.24394547500017
